VEHICLE_SCALE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,6000,5828,164,6,2,0,0,0,,Key
cyl Total,2000,1941,55,4,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1915,81,2,2,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1972,28,0,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,,bucket_3:   -2% > x >= -3%
Bucket Overlap,,,,,,,,,,bucket_4:   -3% > x >= -4%
cyl,,6,42,4,0,0,0,0,,bucket_5:   -4% > x >= -5%
spv,,2,62,2,2,0,0,0,,bucket_6:   -5% > x
sal,,14,18,0,0,0,0,0,,
cyl_spv,,18,11,0,0,0,0,0,,
cyl_sal,,63,2,0,0,0,0,0,,
spv_sal,,41,8,0,0,0,0,0,,
cyl_spv_sal,,1854,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,41,3,0,0,0,0,,
spv,,0,63,3,2,0,0,0,,
sal,,0,18,0,0,0,0,0,,
cyl_spv,,0,14,1,0,0,0,0,,
cyl_sal,,0,2,0,0,0,0,0,,
spv_sal,,0,6,0,0,0,0,0,,
cyl_spv_sal,,2000,2,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,0.02548868584320099,0.01665356606555856,-0.2085122725130512,-1.2545854177908655,-2.178043072393754,0,0,0,,
Avg accuracy % Loss cyl,-0.003503847307449805,0.005079212836506345,-0.20786312776416793,-1.3584936758823023,0,0,0,0,,
Avg accuracy % Loss spv,-0.005864579955606888,0.006266551054762301,-0.2133331016429639,-1.0467689016079917,-2.178043072393754,0,0,0,,
Avg accuracy % Loss sal,0.034857113106257706,0.038132751341047946,-0.195841408286824,0,0,0,0,0,,
Min accuracy % Loss,-2.34570692227698,-0.09993568495523242,-0.690144869807674,-1.6961346984006198,-2.34570692227698,-,-,-,,
Min accuracy % Loss cyl,-1.6961346984006198,-0.09831684915506678,-0.5946780750181957,-1.6961346984006198,-,-,-,-,,
Min accuracy % Loss spv,-2.34570692227698,-0.09993568495523242,-0.690144869807674,-1.068169430133803,-2.34570692227698,-,-,-,,
Min accuracy % Loss sal,-0.6090216063681875,-0.09746420562359859,-0.6090216063681875,-,-,-,-,-,,
Max accuracy % Loss,2.8164257733351405,2.8164257733351405,-0.10069214510554092,-1.0253683730821805,-2.0103792225105277,-,-,-,,
Max accuracy % Loss cyl,1.7691645280380586,1.7691645280380586,-0.10069214510554092,-1.1316478058698953,-,-,-,-,,
Max accuracy % Loss spv,2.8164257733351405,2.8164257733351405,-0.10084728249638575,-1.0253683730821805,-2.0103792225105277,-,-,-,,
Max accuracy % Loss sal,0.5313049145704518,0.5313049145704518,-0.1053458558011644,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,24,24,59,785,3219,-,-,-,,
Max Points Affected,11350,11350,9716,3219,5143,-,-,-,,
Avg Points Affected,5782.9155,1902.235758407687,2796.6951219512193,2096.8333333333335,4181.0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.4755510810064152,0.4755510810064152,0.487490526997135,0.6809453759997268,1.853172185998119,-,-,-,,
Max Seconds,159.18193903299834,159.18193903299834,159.18193903299834,11.584524008998415,6.809391741997388,-,-,-,,
Avg Seconds,18.96442459669211,6.1695307820106775,11.833933855567055,3.899346597498758,4.331281963997753,0,0,0,,
,,,,,,,,,,
Duplicates,60,,,,,,,,,
Duplicates Percent,3.0,,,,,,,,,
,,,,,,,,,,
Time,03:41:23,,,,,,,,,
,,,,,,,,,,
