SIGN_REPLACE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Total,10000,9897,97,6,0,0,0,0,,Key
cyl Total,2000,1954,42,4,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,2000,1993,6,1,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,2000,1983,16,1,0,0,0,0,,bucket_2:   -1% > x >= -2%
sq3 Total,2000,1989,11,0,0,0,0,0,,bucket_3:   -2% > x >= -3%
dar Total,2000,1978,22,0,0,0,0,0,,bucket_4:   -3% > x >= -4%
,,,,,,,,,,bucket_5:   -4% > x >= -5%
Bucket Overlap,,,,,,,,,,bucket_6:   -5% > x
cyl,,2,35,4,0,0,0,0,,
spv,,0,3,1,0,0,0,0,,
sal,,0,9,1,0,0,0,0,,
sq3,,0,2,0,0,0,0,0,,
dar,,0,6,0,0,0,0,0,,
cyl_spv,,1,0,0,0,0,0,0,,
cyl_sal,,2,2,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,0,4,0,0,0,0,0,,
spv_sal,,1,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,0,0,0,0,0,0,,
sal_dar,,0,3,0,0,0,0,0,,
sq3_dar,,0,4,0,0,0,0,0,,
cyl_spv_sal,,3,0,0,0,0,0,0,,
cyl_spv_sq3,,3,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,1,0,0,0,0,0,,
spv_sal_sq3,,4,0,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,2,2,0,0,0,0,0,,
sal_sq3_dar,,0,1,0,0,0,0,0,,
cyl_spv_sal_sq3,,6,0,0,0,0,0,0,,
cyl_spv_sal_dar,,2,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,9,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,3,0,0,0,0,0,0,,
spv_sal_sq3_dar,,39,1,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,1923,0,0,0,0,0,0,,
,,,,,,,,,,
Failure Thresholds,,,,,,,,,,
cyl,,0,39,4,0,0,0,0,,
spv,,0,3,1,0,0,0,0,,
sal,,0,9,1,0,0,0,0,,
sq3,,0,2,0,0,0,0,0,,
dar,,0,6,0,0,0,0,0,,
cyl_spv,,0,0,0,0,0,0,0,,
cyl_sal,,0,2,0,0,0,0,0,,
cyl_sq3,,0,0,0,0,0,0,0,,
cyl_dar,,0,4,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,0,,
spv_sq3,,0,0,0,0,0,0,0,,
spv_dar,,0,0,0,0,0,0,0,,
sal_sq3,,0,0,0,0,0,0,0,,
sal_dar,,0,3,0,0,0,0,0,,
sq3_dar,,0,3,0,0,0,0,0,,
cyl_spv_sal,,0,0,0,0,0,0,0,,
cyl_spv_sq3,,0,0,0,0,0,0,0,,
cyl_spv_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3,,0,0,0,0,0,0,0,,
cyl_sal_dar,,0,0,0,0,0,0,0,,
cyl_sq3_dar,,0,1,0,0,0,0,0,,
spv_sal_sq3,,0,0,0,0,0,0,0,,
spv_sal_dar,,0,0,0,0,0,0,0,,
spv_sq3_dar,,0,2,0,0,0,0,0,,
sal_sq3_dar,,0,1,0,0,0,0,0,,
cyl_spv_sal_sq3,,0,0,0,0,0,0,0,,
cyl_spv_sal_dar,,0,0,0,0,0,0,0,,
cyl_spv_sq3_dar,,0,0,0,0,0,0,0,,
cyl_sal_sq3_dar,,0,0,0,0,0,0,0,,
spv_sal_sq3_dar,,0,2,0,0,0,0,0,,
cyl_spv_sal_sq3_dar,,2000,0,0,0,0,0,0,,
,,,,,,,,,,
Avg accuracy % Loss,0.011145072065636292,0.00531800171737455,-0.22758813274087994,-1.3776783316196195,0,0,0,0,,
Avg accuracy % Loss cyl,-0.00484681521148838,0.002373621505543322,-0.19838755763252253,-1.4998523560606158,0,0,0,0,,
Avg accuracy % Loss spv,0.01625992105588474,0.01775527653070738,-0.2859666987770626,-1.1506238212679487,0,0,0,0,,
Avg accuracy % Loss sal,0.0012661090559755006,0.0037106752903806797,-0.23187589029166136,-1.116036744207305,0,0,0,0,,
Avg accuracy % Loss sq3,-0.0012020266703660965,0.00029003442766517925,-0.27099380157802133,0,0,0,0,0,,
Avg accuracy % Loss dar,-0.0003321161643694115,0.0023623826450320535,-0.2425920545732828,0,0,0,0,0,,
Min accuracy % Loss,-1.6814432459314355,-0.09828309008992342,-0.8459452966814163,-1.6814432459314355,-,-,-,-,,
Min accuracy % Loss cyl,-1.6814432459314355,-0.09828309008992342,-0.6738801813986783,-1.6814432459314355,-,-,-,-,,
Min accuracy % Loss spv,-1.1506238212679487,-0.09506426344207952,-0.8459452966814163,-1.1506238212679487,-,-,-,-,,
Min accuracy % Loss sal,-1.116036744207305,-0.0981257163589655,-0.8142016011294495,-1.116036744207305,-,-,-,-,,
Min accuracy % Loss sq3,-0.5534966549549991,-0.09382963523729693,-0.5534966549549991,-,-,-,-,-,,
Min accuracy % Loss dar,-0.7482744149083342,-0.09483286756127862,-0.7482744149083342,-,-,-,-,-,,
Max accuracy % Loss,2.2750083640013408,2.2750083640013408,-0.10099385099384683,-1.0850220529442622,-,-,-,-,,
Max accuracy % Loss cyl,1.5116066532626649,1.5116066532626649,-0.10099385099384683,-1.0850220529442622,-,-,-,-,,
Max accuracy % Loss spv,2.2750083640013408,2.2750083640013408,-0.11921708185053115,-1.1506238212679487,-,-,-,-,,
Max accuracy % Loss sal,1.190688283152208,1.190688283152208,-0.10536560973649634,-1.116036744207305,-,-,-,-,,
Max accuracy % Loss sq3,0.6363040759197136,0.6363040759197136,-0.10258393804603028,-,-,-,-,-,,
Max accuracy % Loss dar,1.1807906249381328,1.1807906249381328,-0.10931659496439261,-,-,-,-,-,,
,,,,,,,,,,
Min Points Affected,15,15,15,96,-,-,-,-,,
Max Points Affected,3298,3298,3298,1120,-,-,-,-,,
Avg Points Affected,465.43,89.8827927654845,401.89690721649487,384.3333333333333,0,0,0,0,,
,,,,,,,,,,
Min Seconds,0.2682125910068862,0.2682125910068862,0.31024439400061965,0.3944557340000756,-,-,-,-,,
Max Seconds,0.8758017869549803,0.8758017869549803,0.7735906989546493,0.6611197990132496,-,-,-,-,,
Avg Seconds,2.62621383444668,0.5252448042525112,0.5220839468787482,0.5729497265031872,0,0,0,0,,
,,,,,,,,,,
Duplicates,68,,,,,,,,,
Duplicates Percent,3.4000000000000004,,,,,,,,,
,,,,,,,,,,
Time,00:35:21,,,,,,,,,
,,,,,,,,,,
