VEHICLE_INTENSITY,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,,
Total,30,28,2,0,0,0,0,,Key
cyl Total,10,10,0,0,0,0,0,,bucket_0:         x >= -0.1%
spv Total,10,10,0,0,0,0,0,,bucket_1: -0.1% > x >= -1%
sal Total,10,8,2,0,0,0,0,,bucket_2:   -1% > x >= -2%
,,,,,,,,,bucket_3:   -2% > x >= -3%
Avg accuracy % Loss,-0.07874266998187718,-0.00440484377952791,-0.33204553699599515,0,0,0,0,,bucket_4:   -3% > x >= -5%
Avg accuracy % Loss cyl,9.312830724694798e-05,9.312830724694798e-05,0,0,0,0,0,,bucket_5:   -5% > x
Avg accuracy % Loss spv,-0.007465167628929459,-0.007465167628929459,0,0,0,0,0,,
Avg accuracy % Loss sal,-0.07137063066019467,-0.0062019040762445465,-0.33204553699599515,0,0,0,0,,
Min accuracy % Loss,-0.5319362640717973,-0.057495923796446746,-0.5319362640717973,-,-,-,-,,
Min accuracy % Loss cyl,-0.011335693482850129,-0.011335693482850129,-,-,-,-,-,,
Min accuracy % Loss spv,-0.057495923796446746,-0.057495923796446746,-,-,-,-,-,,
Min accuracy % Loss sal,-0.5319362640717973,-0.029732829291084784,-0.5319362640717973,-,-,-,-,,
Max accuracy % Loss,0.011249407397284639,0.011249407397284639,-0.13215480992019302,-,-,-,-,,
Max accuracy % Loss cyl,0.011249407397284639,0.011249407397284639,-,-,-,-,-,,
Max accuracy % Loss spv,0.003698703604382292,0.003698703604382292,-,-,-,-,-,,
Max accuracy % Loss sal,0.002431394161417355,0.002431394161417355,-0.13215480992019302,-,-,-,-,,
,,,,,,,,,
cyl,,0,0,0,0,0,0,,
spv,,0,0,0,0,0,0,,
sal,,0,2,0,0,0,0,,
cyl_spv,,2,0,0,0,0,0,,
cyl_sal,,0,0,0,0,0,0,,
spv_sal,,0,0,0,0,0,0,,
cyl_spv_sal,,8,0,0,0,0,0,,
